
="",="1994",="1998",="2003",="2006",="2012",="2018"

="lnW",="",="",="",="",="",=""
="_cons",="10.4780",="4.8622",="6.7305",="7.8405",="8.4104",="8.8524"
="",="(0.1913)",="(0.1646)",="(0.1409)",="(0.0838)",="(0.0787)",="(0.0885)"

="bk",="",="",="",="",="",=""
="_cons",="0.1453",="0.1429",="0.1144",="0.0723",="0.1382",="0.1487"
="",="(0.0167)",="(0.0144)",="(0.0140)",="(0.0106)",="(0.0087)",="(0.0086)"

="delta",="",="",="",="",="",=""
="_cons",="0.0246",="0.0208",="0.0093",="-0.0040",="0.0369",="0.0459"
="",="(0.0052)",="(0.0043)",="(0.0050)",="(0.0058)",="(0.0043)",="(0.0051)"

="alpha",="",="",="",="",="",=""
="_cons",="0.4798",="0.3860",="0.1352",="-0.1690",="0.4972",="0.6686"
="",="(0.0912)",="(0.0790)",="(0.0911)",="(0.0950)",="(0.0601)",="(0.0533)"

="N",="3037",="3100",="3856",="4800",="7417",="6112"

="Standard errors in parentheses"
