
="",="1994",="1998",="2003",="2006",="2012",="2018"

="lnW",="",="",="",="",="",=""
="_cons",="10.1580",="4.1353",="5.7238",="6.9251",="7.9143",="8.4131"
="",="(0.2447)",="(0.2124)",="(0.1973)",="(0.1663)",="(0.1136)",="(0.1275)"

="bk",="",="",="",="",="",=""
="_cons",="0.1524",="0.1818",="0.1702",="0.1321",="0.1329",="0.1330"
="",="(0.0196)",="(0.0163)",="(0.0158)",="(0.0149)",="(0.0104)",="(0.0103)"

="delta",="",="",="",="",="",=""
="_cons",="0.0275",="0.0260",="0.0156",="0.0065",="0.0197",="0.0249"
="",="(0.0060)",="(0.0042)",="(0.0038)",="(0.0044)",="(0.0036)",="(0.0036)"

="alpha",="",="",="",="",="",=""
="_cons",="0.5889",="0.5408",="0.3466",="0.0900",="0.3354",="0.4628"
="",="(0.0974)",="(0.0749)",="(0.0763)",="(0.0862)",="(0.0659)",="(0.0609)"

="N",="1645",="1667",="2093",="2630",="4057",="3312"

="Standard errors in parentheses"
