
="",="1994",="1998",="2003",="2006",="2012",="2018"

="lnW",="",="",="",="",="",=""
="_cons",="10.4992",="5.1267",="7.3195",="8.1556",="8.2117",="8.8384"
="",="(0.2880)",="(0.2420)",="(0.1530)",="(0.1158)",="(0.1195)",="(0.1213)"

="bk",="",="",="",="",="",=""
="_cons",="0.1697",="0.1425",="0.0845",="0.0725",="0.2206",="0.1784"
="",="(0.0244)",="(0.0215)",="(0.0180)",="(0.0163)",="(0.0111)",="(0.0118)"

="delta",="",="",="",="",="",=""
="_cons",="0.0261",="0.0168",="-0.0020",="0.0015",="0.0595",="0.0511"
="",="(0.0067)",="(0.0059)",="(0.0082)",="(0.0095)",="(0.0063)",="(0.0069)"

="alpha",="",="",="",="",="",=""
="_cons",="0.4625",="0.2669",="-0.1351",="-0.1196",="0.8161",="0.7312"
="",="(0.1278)",="(0.1162)",="(0.1362)",="(0.1475)",="(0.0484)",="(0.0663)"

="N",="1392",="1433",="1763",="2170",="3360",="2800"

="Standard errors in parentheses"
